k[h/Mpc] dP/dk(z=0.00) dP/dk(z=0.20) dP/dk(z=0.40) dP/dk(z=0.60) dP/dk(z=0.80) dP/dk(z=1.00) dP/dk(z=1.20) dP/dk(z=1.40) dP/dk(z=1.60) dP/dk(z=1.80) dP/dk(z=2.00) 
0.00010202 4077359.0329626543 3302080.3092622226 2676602.7564071924 2188376.4127550027 1808732.298303983 1518092.5903339062 1277100.7825227098 1089882.0711459105 936827.8169764477 814636.6206646087 714141.378051014 
0.00010408 4092028.490346761 3314737.1851387518 2688741.5492179156 2197362.5530664814 1811379.2099013578 1511545.6829511956 1276371.5158987024 1092988.9824106048 939055.326698943 816642.6409293604 716164.4214032663 
0.00010618 4073819.76393242 3299590.614781568 2678958.6068427507 2190400.7238575234 1806371.7686589758 1508034.0746686773 1276086.5877560077 1086305.8908957492 936287.2715487408 813996.5727589424 713519.721484924 
0.00010833 4065600.215869473 3294890.4330308484 2676072.3157988475 2185068.1407904075 1805764.5533907611 1505842.479415163 1271110.012201247 1084517.5734475884 934795.6985750985 812248.0359417966 711809.8200754821 
0.00011052 4078126.359740301 3303835.349793867 2680957.835731311 2189065.4793777238 1809107.6006372967 1510096.7193703242 1271040.4336476212 1086982.8437847178 937377.43770458 814396.5066658052 713860.2269340521 
0.00011275 4069723.1231651595 3295251.330623666 2672639.1315703094 2185307.792192665 1803999.6215195612 1507850.638355645 1273484.4266493097 1083463.1122431303 935548.6037805269 812917.2734820904 712788.0275228219 
0.00011503 4069298.603304114 3298240.680470799 2673149.2285909466 2187477.1137084384 1804412.3680637935 1505466.5656864455 1271497.8472453551 1084808.122330078 934790.3213574099 812573.2325433926 712268.861138473 
0.00011735 4070086.3321284153 3298359.1727917073 2677992.864455329 2186246.9817823097 1804262.6067677704 1509204.3630396721 1270956.713845247 1085871.0642864595 933912.353766948 813650.9062895433 712424.3781433356 
0.00011972 4060280.2686333507 3287132.8797897734 2670390.542048905 2180998.119561001 1801815.2776138126 1502608.2113666735 1269483.8602012051 1083537.4886661232 933136.7958902514 810943.7329118586 711040.0545389117 
0.00012214 4052203.4125222806 3281915.65590405 2661767.2192170983 2179435.772697547 1798438.5496852992 1499446.47410968 1267023.8163217406 1081082.032336886 932604.3765184929 809059.7827914899 709817.1193763298 
0.00012461 4062537.731866131 3290869.8949425365 2670351.323936132 2181241.6806620182 1802231.2209609924 1505647.7509945994 1269871.9943036202 1083029.368581364 931689.1913504505 811733.2303447041 711104.842213952 
0.00012712 4058413.7346623875 3289051.482252433 2668479.511729817 2179689.69938527 1799526.7515641847 1501888.0702769887 1267773.269205269 1080643.0551890624 930934.028265648 811349.4260668061 710723.291849812 
0.00012969 4047641.852881972 3278223.515471221 2660388.179112605 2175311.5828786 1795639.500627519 1499094.9711925606 1265733.48231448 1079017.1557291104 931348.533817366 809222.835075849 708785.8206361567 
0.00013231 4039686.6635130183 3274301.353727948 2655225.824293817 2170975.6696138363 1792183.4839293063 1495780.3992613265 1264487.4974059337 1077107.9260404794 927375.3197880597 807221.092617161 707289.4068904523 
0.00013499 4043712.871232128 3277820.400774762 2658810.530863667 2171451.1575636063 1790997.1668002135 1495609.3620671285 1261581.4780818815 1077055.21057708 929341.2073370519 807371.5451720939 707490.3241538964 
0.00013771 4051255.7722479803 3280655.212097492 2664603.467303039 2176211.365711429 1798967.850780832 1499253.9855582684 1266825.6050266211 1081089.3688302166 932701.508778435 807613.2591804885 709304.3153914863 
0.00014049 4035834.151351491 3269190.883100461 2654102.495219591 2171222.9148305207 1791504.0197436907 1496713.0935025057 1263770.3034552177 1078719.7340721358 925644.3833169446 805997.6167306295 708797.751645583 
0.00014333 4029655.4027392585 3265565.931871865 2648075.4655028824 2163910.3453828557 1786168.2791574753 1492463.9679313537 1258435.0113315836 1073811.987013083 927066.57030722 804625.9920963566 704621.8008738456 
0.00014623 4034158.25653608 3267966.7083648737 2652732.4950158373 2166553.8392306548 1788690.523810702 1491997.8673027274 1260064.040213481 1075795.8941880306 926982.9876259703 804936.8583205277 706409.1277247278 
0.00014918 4028072.3003941085 3262423.4854449388 2648383.7831624793 2164369.3717709617 1787096.8641764466 1493126.6327196509 1260175.1748791565 1074003.3896629498 924061.0462353181 806238.749376655 705387.9130970472 
0.0001522 4025531.2276606327 3260814.576971058 2643910.055033249 2161577.2350755194 1786874.9634239688 1490594.1498907534 1257183.1048216808 1070937.6811273284 924594.8630013703 804423.8098963985 703618.7099546782 
0.00015527 4026801.9284263505 3260530.9691388924 2647603.8612323217 2164337.0192948207 1784420.450965866 1490197.3258368634 1257918.6654678422 1075490.5020409208 924298.3777011214 803634.5562999793 706508.3358136201 
0.00015841 4013175.386295031 3253143.8348585954 2640361.794068697 2157338.17760933 1781236.0162708391 1486074.476861569 1256990.989959238 1071665.9216057174 924203.3666185904 802407.3845457868 702422.6886811489 
0.00016161 4024414.3862588415 3259927.3711337554 2642791.010703624 2162117.314188732 1784407.7167094392 1489777.4513014813 1256790.6493117353 1073233.6690715086 924550.4907163377 803738.8160909698 704643.0035059325 
0.00016487 4018928.8100934173 3258025.6087422865 2642788.2102498217 2159982.980623136 1780941.5128308865 1489649.6801043618 1257568.3798522344 1071836.2679435085 922565.1142967988 803045.7330619153 704900.957678787 
0.0001682 4009769.701974557 3247069.312624026 2637579.4701102497 2154270.5431411583 1780801.5349580657 1483547.1245064174 1251730.894841586 1067572.235794797 920899.0065645897 800552.6406188721 700471.2017649307 
0.0001716 4004447.8794150637 3242903.378212704 2631715.608734401 2150225.6759566558 1776425.7324971482 1482737.1880793506 1251373.3536151275 1068027.933136882 921398.8159830302 800175.4784498955 701369.9506618311 
0.00017507 4007715.5955417412 3248529.662425041 2634912.504811298 2153302.451200164 1777473.5855070385 1484972.1063702852 1253490.421199523 1070735.8609315236 921801.2654890147 802185.055359731 703492.9710971494 
0.0001786 4007135.365997665 3245635.5904127597 2634046.1847543903 2153428.756395405 1776339.839536133 1483077.7358896127 1251888.2258415539 1068951.307018624 920033.5214528444 799622.8616203016 701836.9338553648 
