k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.20) d^2P/dk^2(z=0.40) d^2P/dk^2(z=0.60) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.00) d^2P/dk^2(z=1.20) d^2P/dk^2(z=1.40) d^2P/dk^2(z=1.60) d^2P/dk^2(z=1.80) d^2P/dk^2(z=2.00) 
0.00010202 14941132095.018444 12758282804.05168 11117472058.311863 8163974046.666854 3101969361.301318 -3923828379.2361746 -462129675.24446017 3830975168.695686 2269498094.628383 2079971037.497475 2092004118.68951 
0.00010408 -698940459.964036 -470053797.7130327 667763680.2540178 560434022.7296052 -532152276.47167397 -2432392380.677253 -245896173.30651918 -814556465.1091988 -106867296.08947158 -132378547.44736981 -127884359.2213633 
0.00010618 -16642703744.169422 -13955251304.366335 -9984851656.60103 -7190747555.070477 -4236839382.939275 -911996459.816221 -25463962.593084875 -5550292596.657851 -2529375704.1028104 -2387686376.760068 -2390877467.771275 
0.00010833 8996612522.822975 9582989210.673615 7299929755.295446 2230205167.0561757 3671987970.6464214 -1126696799.266954 -4603908646.4866495 3886741482.0897436 1141865961.1797159 761140500.3452691 800271505.4997624 
0.00011052 2442788272.4536395 -1414115454.491893 -2838267716.5163474 1420332355.606601 -618976786.5958196 5011847443.249795 4540366588.380898 -1635353046.3550816 1215886668.4836946 1200933220.2105753 1072246173.5595822 
0.00011275 -9979323317.423605 -6284556447.034356 -4622453504.112738 -4790455391.533479 -3962170404.1982675 -7026269877.939481 -2348444613.772436 -1521356856.4139924 -2856096465.8406763 -2527599752.690241 -2033859995.2906823 
0.00011503 9606937474.401701 8906793155.04597 5069907030.987388 6693369001.860765 4324228776.331745 4934978062.852039 605831101.5314864 2701190266.0170913 2190936445.562451 2225809455.5868387 1578450886.2126222 
0.00011735 -8927860901.728159 -8804644602.53855 -894358872.0368493 -7753827558.868114 -4453333341.868632 -1712738965.2426176 -1072325411.9693397 -1784860993.2743993 -2947805058.029492 -1296780364.0776124 -1444384502.7102551 
0.00011972 652701834.1634417 -669020377.9964242 -5521103074.312194 3324407962.827305 2388076671.8620243 -3853633754.587566 -170589055.57649633 -184401133.59156245 2293325837.1886086 -987754131.8586869 276178929.3567966 
0.00012214 -7327789529.2634945 -3642734899.4613843 -1605610009.8256264 -4615603717.748307 -5178760910.303019 1240627757.0722115 -1862505059.683574 -1844901617.8442981 -2733341846.906478 -569229438.6941153 -1286869146.366719 
0.00012461 15695659443.312876 10893130882.041924 8556302090.0148115 6077877373.190556 8249749797.503993 3780649072.8221145 4168722049.059839 3421692099.2030396 1992301225.0097926 2733964299.59638 2329559703.145914 
0.00012712 -18981712992.112965 -12342065296.467491 -10047785919.748512 -7314515840.719038 -10404705492.171688 -6776410600.799046 -5841012964.080782 -5323137033.307893 -2594024798.5576086 -3039784441.347827 -2633583897.67997 
0.00012969 10598925614.358383 3915632003.6959395 3751029019.1950097 3907421282.9994946 7379607486.984748 4602792636.26398 4253630169.692676 4057845624.7849693 2916597212.3458953 1384849818.0349293 1125824198.3375018 
0.00013231 -16671589254.781118 -6909648601.614123 -7691757888.498879 -7217278737.017927 -10017788172.643242 -7133000217.358783 -5204763687.666978 -5515272868.014587 -5949585020.976681 -2912897496.4226623 -2268124767.577548 
0.00013499 19676221880.98161 9535803114.16149 10366912045.103195 7572120490.577767 9132476882.275322 7005360520.19586 3036092550.3144994 5475932969.955076 7416665281.418553 3025175522.491899 2418063023.8791428 
0.00013771 -14129971134.031197 -7451383023.918694 -6107399957.329545 -4071967440.7082877 -3271679837.7030287 -4325490306.122314 819883144.3469127 -2509640136.7664175 -4945855398.048649 -2847444633.9663553 -1084245937.4160764 
0.00014049 3035279841.592799 -796335678.981466 -1447256217.8127573 483153857.32090586 -2097982778.9453084 2497510409.890181 -3017941828.809843 804866929.5141063 -131213279.28249213 1685111936.2259912 719811587.8453859 
0.00014333 -7386511258.657668 -1756446876.3674622 -2797130906.630238 -5632850651.45081 -1659581014.1639984 -5489852361.405571 -739306145.5803255 -4261026830.255645 1132753413.2793286 -2651044777.2632384 -3660621990.477361 
0.00014623 10491927670.258698 3412154802.580193 6008875398.323347 7455949856.829304 3399060085.3547034 5168403652.008044 1862774339.9924076 5629238675.047247 -1190396641.727464 2865435276.6916156 4893261197.98239 
0.00014918 -14617999630.917107 -7170272036.434481 -8957154620.938757 -8936944744.756666 -4479507295.019169 -4403138962.568512 -1787428803.9412148 -6844495980.186792 -790580572.2739314 -1982797272.5374925 -5585610098.104784 
0.0001522 12935170006.098425 6104769735.850788 5994420760.520858 7087847595.457121 4332553154.305211 2725998016.2787666 -194074545.380597 4814225426.795081 1144101609.3945937 780850596.870878 4413952387.926521 
0.00015527 -12107351917.682936 -6289530538.564232 -3588032357.2157893 -5289942566.596508 -5931584071.636145 -2984515315.229936 673267148.7432339 -1848218316.9628336 -1337251642.130127 -1295022320.9223583 -2531459971.6776886 
0.00015841 3428025719.3903437 1584349468.3114836 -1024749275.6659305 832081620.4245633 3903281718.116088 358496859.62877494 -1264143268.8733106 -587820176.7972641 1276735029.053105 513384260.92704225 -70863042.635166 
0.00016161 3596349257.9909453 2655360703.6634903 2543009672.4949965 2154878741.701131 -1920968943.9912264 1955862165.3160982 1138930364.1841393 1567662342.9168098 -1059782467.9611185 318760454.812304 1458559808.1248653 
0.00016487 -6961733408.557595 -3822086097.2025375 -2544727742.312297 -3464285837.158655 -205536502.97351703 -2034249402.812578 -661795063.264532 -2424963648.4384217 -158239875.3141212 -743964767.1156764 -1300305714.349054 
0.0001682 1460767571.4039154 -2758271931.7831182 -583644713.8872072 33392454.58926465 121465708.48641504 -1630949154.511488 -2844201940.128013 -136016621.0579491 -842425429.3161232 -753388051.5288742 -1360208348.0271387 
0.0001716 -4591251429.929125 307722278.06458074 -2865685507.200059 -2412726092.5317426 -2695467156.0847692 1154515962.1192682 2633883571.6230636 404073881.10792917 1136430969.5753343 531527952.1308695 1888884169.7332783 
0.00017507 6474661301.213176 2935092829.9109015 4708276905.987804 4186083581.585565 3299417017.6930285 133621381.35884207 -1413671707.4181468 1156691418.3973055 -904471600.1318291 626729632.7887361 -665241267.5324752 
0.0001786 -6803403252.531193 -4574793686.727782 -5199109799.419687 -4114522564.4517198 -3941766009.707561 -1206919104.119314 505912297.8039831 -2167770122.58975 -97083094.58224316 -2078397473.8251853 -273023458.6910915 
0.00018221 1747472436.9150424 1440400953.7038054 1693531806.4228208 1839678601.3159494 2088539320.4283123 613379389.7219698 -697137916.4050612 231419648.86283883 -414030085.28275454 1100404749.945828 -1125823871.4428205 
0.00018589 -4679948427.853356 -4262720516.7223606 -3389061177.0309978 -3461109326.7600656 -1793780199.8692586 -2903067206.9943156 -1121588732.3756058 -852192193.1696503 -203518025.5595748 -479952883.7654621 715045774.8093317 
